I,X,Y,Z,R,C,CR,CG,CB
0,1.831023,0.000016,0.000006,1.188,1,0.195,0.015,0.205
1,-2.217808,0.000439,0.000005,1.02,0,0.014,0.014,0.014
2,-3.101332,-1.091668,2.080438,0.882,1,0.05,0.103,0.103
3,-3.101591,2.347480,-0.095000,0.882,1,0.05,0.103,0.103
4,-3.101232,-1.256201,-1.985476,0.882,1,0.05,0.103,0.103
